Source,Target,Weight,Type
AWBR,URYVR,1,chemical
AWBR,RIFR,1,chemical
AWBR,AIMR,1,chemical
AWBR,AIZR,8,chemical
AWBR,AVBR,2,chemical
AWBR,AIYR,1,chemical
AWBR,ADFR,7,chemical
AWBR,ASHR,2,chemical
AWBR,OLQVR,1,chemical
AWBR,ASGR,1,chemical
AWBR,RIR,7,chemical
AWBR,HSNL,2,chemical
AWBR,RIAR,3,chemical
AWBR,HSNR,2,chemical
AWBR,ASER,1,chemical
AVFL,VC01,1,chemical
AVFL,PVQR,1,chemical
AVFL,RIFL,1,chemical
AVFL,RIFR,1,chemical
AVFL,AVJL,2,chemical
AVFL,SMBVL,1,chemical
AVFL,AVL,5,chemical
AVFL,DVB,1,chemical
AVFL,AVBR,1,chemical
AVFL,PDER,1,chemical
AVFL,AVHR,1,chemical
AVFL,AVHL,4,chemical
AVFL,AVFR,12,chemical
AVFL,PVNL,1,chemical
AVFL,VB02,2,chemical
AVFL,AS10,1,chemical
AVFL,AVBL,4,chemical
AVFL,AVG,5,chemical
AVFL,HSNL,2,chemical
AVFL,VB01,2,chemical
AVFL,PVQL,1,chemical
AVFL,HSNR,3,chemical
AVFL,AIML,1,chemical
DA05,DD03,12,chemical
DA05,DA04,1,chemical
DA05,VD05,1,chemical
DA05,DB04,1,chemical
DA05,VD06,22,chemical
CEPDR,URADR,3,chemical
CEPDR,CEPDR,6,chemical
CEPDR,RIFR,2,chemical
CEPDR,RMDR,1,chemical
CEPDR,RIH,4,chemical
CEPDR,RMHL,7,chemical
CEPDR,OLQDR,20,chemical
CEPDR,URBR,14,chemical
CEPDR,OLLR,13,chemical
CEPDR,RMDVR,3,chemical
CEPDR,RICL,13,chemical
CEPDR,SIBVR,1,chemical
CEPDR,RIBR,3,chemical
CEPDR,URXR,2,chemical
CEPDR,SMBDL,1,chemical
CEPDR,IL1R,1,chemical
CEPDR,BDUR,5,chemical
CEPDR,URYDR,3,chemical
CEPDR,RMGR,1,chemical
CEPDR,AVEL,9,chemical
CEPDR,IL1DR,15,chemical
CEPDR,RMHR,1,chemical
CEPDR,RICR,19,chemical
SMDVR,SMDDL,14,chemical
SMDVR,AVER,1,chemical
SMDVR,RMED,9,chemical
SMDVR,RIML,1,chemical
SMDVR,PLNL,6,chemical
SMDVR,SIAVL,30,chemical
SMDVR,AIBR,1,chemical
SMDVR,SMDVL,1,chemical
SMDVR,RIAL,24,chemical
SMDVR,CEPVL,1,chemical
SMDVR,RMDDL,3,chemical
SMDVR,SIBVR,30,chemical
SMDVR,RIVR,1,chemical
SMDVR,VB01,1,chemical
SMDVR,AVAR,1,chemical
SMDVR,RIAR,16,chemical
ASJL,CEPDL,1,chemical
ASJL,ASKL,12,chemical
ASJL,ALA,3,chemical
ASJL,ASKR,1,chemical
ASJL,HSNL,1,chemical
ASJL,PVQL,34,chemical
ASJL,HSNR,1,chemical
VB10,DD06,19,chemical
VB10,VD11,7,chemical
VB10,VA11,3,chemical
VB10,VD12,6,chemical
VB10,PVT,1,chemical
VC02,VC01,3,chemical
VC02,PVQR,1,chemical
VC02,DD03,8,chemical
VC02,VD02,3,chemical
VC02,PVCL,1,chemical
VC02,VD05,4,chemical
VC02,DB04,1,chemical
VC02,DD02,4,chemical
VC02,DVC,3,chemical
VC02,VD04,6,chemical
VC02,PVPR,1,chemical
VC02,VD01,2,chemical
VC02,DD01,6,chemical
VC02,VC03,4,chemical
VC02,PVT,6,chemical
VC02,VD06,2,chemical
RIML,SMDDL,11,chemical
RIML,AVER,5,chemical
RIML,AIBL,1,chemical
RIML,RIML,11,chemical
RIML,SAAVL,10,chemical
RIML,RIBL,9,chemical
RIML,RMDR,21,chemical
RIML,RIMR,2,chemical
RIML,SAADL,1,chemical
RIML,SAAVR,10,chemical
RIML,AVBR,11,chemical
RIML,AVAL,5,chemical
RIML,RMFL,2,chemical
RIML,AVKR,1,chemical
RIML,AIBR,22,chemical
RIML,SMDVL,11,chemical
RIML,RIAL,3,chemical
RIML,SMDDR,14,chemical
RIML,AVBL,9,chemical
RIML,VB01,8,chemical
RIML,AVAR,2,chemical
RIML,RMFR,2,chemical
RIML,RMDL,9,chemical
RIML,RICR,1,chemical
RIML,SAADR,4,chemical
RMER,RMER,5,chemical
RMER,IL1L,4,chemical
RMER,RMHR,3,chemical
PVDL,AVFL,1,chemical
PVDL,AVDR,1,chemical
PVDL,DD05,3,chemical
PVDL,PVCL,13,chemical
PVDL,AVAL,13,chemical
PVDL,AVG,8,chemical
PVDL,PVPL,1,chemical
PVDL,AVAR,29,chemical
PVDL,PVCR,36,chemical
PVDL,VD10,3,chemical
PVDL,PVDR,10,chemical
PVDL,AVDL,1,chemical
PDEL,PDER,4,chemical
PDEL,DVA,7,chemical
PDEL,PVR,2,chemical
PDEL,AVKL,5,chemical
PDEL,PVM,3,chemical
PLNR,SIAVR,10,chemical
PLNR,SAAVL,1,chemical
PLNR,SMBVR,10,chemical
PLNR,SMDVL,2,chemical
PLNR,RMDVL,1,chemical
PLNR,SAADR,8,chemical
AS05,DD03,1,chemical
AS05,PVDL,1,chemical
AS05,AS05,3,chemical
AS05,DA04,1,chemical
AS05,VD05,12,chemical
SMBDR,RMED,25,chemical
SMBDR,SIAVR,1,chemical
SMBDR,SAAVL,8,chemical
SMBDR,AVAL,1,chemical
SMBDR,ALNL,5,chemical
SMBDR,SIADR,20,chemical
SMBDR,SMDDR,4,chemical
SMBDR,SMBDL,3,chemical
SMBDR,RIVL,1,chemical
SMBDR,SDQL,18,chemical
URYDL,SMDDL,2,chemical
URYDL,AVER,9,chemical
URYDL,RMDDR,15,chemical
URYDL,RIBL,8,chemical
URYDL,OLQDL,2,chemical
URYDL,RMDVL,18,chemical
URYDL,SMDDR,3,chemical
URYDL,OLLL,3,chemical
URYDL,AIZL,1,chemical
URYDL,IL1DL,3,chemical
URYDL,AVEL,1,chemical
BAGL,AVER,7,chemical
BAGL,AIBL,2,chemical
BAGL,AUAR,2,chemical
BAGL,RIGR,7,chemical
BAGL,AIZR,2,chemical
BAGL,AINL,1,chemical
BAGL,URAVR,1,chemical
BAGL,ADFR,1,chemical
BAGL,RIPR,1,chemical
BAGL,CEPVR,2,chemical
BAGL,BAGR,1,chemical
BAGL,RIBR,19,chemical
BAGL,RIVR,2,chemical
BAGL,URXR,1,chemical
BAGL,RID,3,chemical
BAGL,RIGL,3,chemical
BAGL,AVEL,2,chemical
BAGL,AVAR,3,chemical
BAGL,RIAR,18,chemical
VD11,DD06,2,chemical
VD11,VB10,1,chemical
VD11,VA11,2,chemical
VD11,AVAR,2,chemical
VD11,PVT,1,chemical
VD02,VA02,12,chemical
VD02,VB02,4,chemical
VD02,DD01,1,chemical
VD02,AS01,1,chemical
VD02,AVEL,1,chemical
ADLR,AVJR,3,chemical
ADLR,ADLR,3,chemical
ADLR,RIFR,2,chemical
ADLR,AVDR,3,chemical
ADLR,AVJL,2,chemical
ADLR,PVCL,3,chemical
ADLR,AVBR,7,chemical
ADLR,SMBVR,5,chemical
ADLR,ADAR,1,chemical
ADLR,URBR,6,chemical
ADLR,RIPR,2,chemical
ADLR,AIBR,27,chemical
ADLR,ASHR,4,chemical
ADLR,OLLR,1,chemical
ADLR,CEPVR,1,chemical
ADLR,OLQVR,1,chemical
ADLR,RICL,1,chemical
ADLR,SIBVL,2,chemical
ADLR,AWCR,7,chemical
ADLR,AVBL,3,chemical
ADLR,URXR,8,chemical
ADLR,AIAR,22,chemical
ADLR,AVAR,8,chemical
ADLR,AVDL,26,chemical
ADLR,ASER,2,chemical
ADLR,RICR,5,chemical
IL2VL,RMER,6,chemical
IL2VL,RIH,5,chemical
IL2VL,OLQVL,6,chemical
IL2VL,URAVL,7,chemical
IL2VL,RIAL,4,chemical
IL2VL,DVC,1,chemical
IL2VL,BAGR,1,chemical
IL2VL,IL1VL,27,chemical
IL2VL,RMEV,2,chemical
IL2VL,RMEL,7,chemical
IL2VL,RIPL,36,chemical
IL2VL,IL2L,1,chemical
PHBR,AVDR,5,chemical
PHBR,PVCL,39,chemical
PHBR,AVAL,35,chemical
PHBR,PHBL,3,chemical
PHBR,VA12,1,chemical
PHBR,PHCL,1,chemical
PHBR,AVAR,38,chemical
PHBR,PHCR,3,chemical
PHBR,PVCR,21,chemical
PHBR,AVDL,7,chemical
URYVR,SMBDR,1,chemical
URYVR,IL1VR,3,chemical
URYVR,RMDDR,32,chemical
URYVR,AVL,5,chemical
URYVR,AVAL,2,chemical
URYVR,ADAR,1,chemical
URYVR,CEPVR,1,chemical
URYVR,SIBVL,5,chemical
URYVR,SMDVL,11,chemical
URYVR,RMDVL,19,chemical
URYVR,AVBL,5,chemical
URYVR,RIBR,19,chemical
URYVR,AVEL,26,chemical
URYVR,RIAR,2,chemical
URYVR,SIBDR,4,chemical
URYVR,RMDL,2,chemical
SAAVL,AIBL,1,chemical
SAAVL,RIML,5,chemical
SAAVL,SMBDR,2,chemical
SAAVL,RIMR,33,chemical
SAAVL,AVAL,56,chemical
SAAVL,OLLR,1,chemical
SAAVL,SMDVL,1,chemical
SAAVL,SMDDR,18,chemical
SAAVL,RMFR,11,chemical
SAAVL,SABD,1,chemical
IL1VR,RMDDR,40,chemical
IL1VR,URAVR,4,chemical
IL1VR,RIPR,16,chemical
IL1VR,OLLR,1,chemical
IL1VR,OLQVR,5,chemical
IL1VR,RMDVL,5,chemical
IL1VR,IL1R,4,chemical
IL1VR,IL2VR,2,chemical
PLNL,SMBVL,10,chemical
PLNL,SAADL,5,chemical
PLNL,SIAVL,10,chemical
RIFR,RIFL,1,chemical
RIFR,AVJR,2,chemical
RIFR,AWBR,2,chemical
RIFR,AVFL,1,chemical
RIFR,ADLR,1,chemical
RIFR,AVJL,2,chemical
RIFR,RIMR,10,chemical
RIFR,PVCL,1,chemical
RIFR,AVBR,35,chemical
RIFR,RIPR,2,chemical
RIFR,ASHR,6,chemical
RIFR,CEPVR,2,chemical
RIFR,AVBL,1,chemical
RIFR,AIZL,1,chemical
RIFR,PVPR,6,chemical
RIFR,URXR,3,chemical
RIFR,HSNL,2,chemical
RIFR,PVCR,1,chemical
RIFR,RIAR,1,chemical
RIFR,HSNR,3,chemical
VA02,VD02,27,chemical
VA02,AVAL,1,chemical
VA02,VA01,2,chemical
VA02,VB02,1,chemical
VA02,VA03,2,chemical
VA02,VD01,1,chemical
VA02,DD01,20,chemical
VA02,VB01,1,chemical
AVDR,AVER,2,chemical
AVDR,SABVL,5,chemical
AVDR,DA09,1,chemical
AVDR,LUAL,3,chemical
AVDR,AVJR,1,chemical
AVDR,DA05,3,chemical
AVDR,VA02,1,chemical
AVDR,SABVR,1,chemical
AVDR,DA02,5,chemical
AVDR,DA04,2,chemical
AVDR,DA01,5,chemical
AVDR,DA08,1,chemical
AVDR,AVAL,41,chemical
AVDR,DA06,1,chemical
AVDR,ALA,1,chemical
AVDR,VA11,1,chemical
AVDR,PQR,3,chemical
AVDR,DB04,1,chemical
AVDR,AS11,3,chemical
AVDR,DVC,4,chemical
AVDR,AS10,2,chemical
AVDR,AVBL,1,chemical
AVDR,VA03,2,chemical
AVDR,VA05,3,chemical
AVDR,DB01,1,chemical
AVDR,AVAR,52,chemical
AVDR,PVCR,2,chemical
AVDR,AVDL,3,chemical
AVDR,DA03,3,chemical
AVDR,SABD,1,chemical
ASKL,AIBL,9,chemical
ASKL,ASJL,1,chemical
ASKL,AIAL,29,chemical
ASKL,ASER,4,chemical
ASKL,AIML,5,chemical
AVJL,AVJR,1,chemical
AVJL,RIFR,1,chemical
AVJL,RIS,1,chemical
AVJL,PVCL,5,chemical
AVJL,AVBR,6,chemical
AVJL,PVNR,4,chemical
AVJL,AINL,1,chemical
AVJL,AVHL,3,chemical
AVJL,ASHR,1,chemical
AVJL,AVBL,5,chemical
AVJL,AVEL,1,chemical
AVJL,AVAR,1,chemical
AVJL,PVCR,1,chemical
AVJL,AVDL,1,chemical
AVJL,SABD,1,chemical
AUAR,AVER,13,chemical
AUAR,BAGL,1,chemical
AUAR,AINR,1,chemical
AUAR,AIZR,2,chemical
AUAR,AIYR,1,chemical
AUAR,AINL,1,chemical
AUAR,RIBR,31,chemical
AUAR,URXR,5,chemical
AUAR,AVAR,3,chemical
AUAR,RIAR,22,chemical
RMDDR,RMDVR,3,chemical
RMDDR,RMDVL,26,chemical
RMDDR,RMDDL,1,chemical
RIBL,AVER,14,chemical
RIBL,SMDVR,6,chemical
RIBL,RIML,1,chemical
RIBL,URYDL,3,chemical
RIBL,AVDR,4,chemical
RIBL,RMDR,1,chemical
RIBL,RIS,5,chemical
RIBL,AVBR,1,chemical
RIBL,AVAL,5,chemical
RIBL,AIBR,8,chemical
RIBL,AUAL,9,chemical
RIBL,RIAL,6,chemical
RIBL,DVC,1,chemical
RIBL,CEPVL,5,chemical
RIBL,BAGR,3,chemical
RIBL,RIGL,1,chemical
RIBL,AVEL,9,chemical
RIGR,AVER,4,chemical
RIGR,AIBL,2,chemical
RIGR,BAGL,2,chemical
RIGR,URYVR,2,chemical
RIGR,AIZR,5,chemical
RIGR,AFDR,1,chemical
RIGR,RMHL,17,chemical
RIGR,DVA,4,chemical
RIGR,AVKR,5,chemical
RIGR,AVKL,21,chemical
RIGR,OLQVR,2,chemical
RIGR,ALNR,3,chemical
RIGR,DVC,2,chemical
RIGR,RIBR,2,chemical
RIGR,URXR,3,chemical
RIGR,RIR,5,chemical
RIGR,RIAR,3,chemical
RIGR,PVT,5,chemical
RIGR,AVDL,1,chemical
SMBVL,AVJR,1,chemical
SMBVL,AVFL,1,chemical
SMBVL,PLNL,5,chemical
SMBVL,SAADL,16,chemical
SMBVL,AVBR,1,chemical
SMBVL,AVHR,1,chemical
SMBVL,SIAVL,1,chemical
SMBVL,RMDVR,1,chemical
SMBVL,SMBDL,2,chemical
SMBVL,PVPL,1,chemical
SMBVL,RMEV,20,chemical
SMBVL,AIML,1,chemical
VB11,DD06,19,chemical
VB11,PVWL,1,chemical
VB11,VA12,5,chemical
VB11,VD12,2,chemical
VB11,VD13,22,chemical
VB11,PVWR,1,chemical
VB11,PVCR,1,chemical
AIMR,AVJR,1,chemical
AIMR,AVFL,3,chemical
AIMR,RIFR,3,chemical
AIMR,AVDR,2,chemical
AIMR,AIMR,1,chemical
AIMR,RMDR,1,chemical
AIMR,PVNR,1,chemical
AIMR,AVHR,2,chemical
AIMR,ALA,2,chemical
AIMR,OLQDR,1,chemical
AIMR,ADFR,2,chemical
AIMR,CEPVR,1,chemical
AIMR,AVFR,4,chemical
AIMR,ASKR,4,chemical
AIMR,ASGR,6,chemical
AIMR,URXR,5,chemical
AIMR,AIAR,10,chemical
AIMR,BDUR,2,chemical
AIMR,HSNL,3,chemical
AIMR,RMGR,4,chemical
AIMR,AVAR,1,chemical
AIMR,HSNR,3,chemical
AIMR,ASJR,4,chemical
AINR,AIBL,2,chemical
AINR,AWCL,2,chemical
AINR,CEPDL,2,chemical
AINR,AFDL,9,chemical
AINR,AUAR,2,chemical
AINR,RIBL,8,chemical
AINR,AINR,1,chemical
AINR,AFDR,3,chemical
AINR,AINL,1,chemical
AINR,AUAL,1,chemical
AINR,ASEL,1,chemical
AINR,URXL,2,chemical
AINR,BAGR,9,chemical
AINR,AIAL,2,chemical
AINR,URXR,2,chemical
AINR,RID,2,chemical
AINR,ASGL,1,chemical
AINR,ASER,3,chemical
AIZR,AVER,1,chemical
AIZR,AIBL,50,chemical
AIZR,SMBDR,17,chemical
AIZR,RIMR,34,chemical
AIZR,SMBVR,10,chemical
AIZR,DVA,3,chemical
AIZR,ADFR,1,chemical
AIZR,AIBR,3,chemical
AIZR,SIADR,1,chemical
AIZR,SMDDR,4,chemical
AIZR,AWCR,2,chemical
AIZR,AIAR,5,chemical
AIZR,AWAR,1,chemical
AIZR,AVEL,28,chemical
AIZR,RIAR,25,chemical
AIZR,ASER,2,chemical
AFDR,AFDL,1,chemical
AFDR,AIYR,29,chemical
AFDR,ASEL,1,chemical
AFDR,ASER,4,chemical
AWBL,AWCL,1,chemical
AWBL,SMBVL,3,chemical
AWBL,AVHR,2,chemical
AWBL,AIBR,1,chemical
AWBL,ASHL,2,chemical
AWBL,ASEL,1,chemical
AWBL,RIAL,10,chemical
AWBL,AVBL,2,chemical
AWBL,AIZL,15,chemical
AWBL,AIAL,4,chemical
AWBL,ADFL,25,chemical
AWBL,SMBDL,2,chemical
AWBL,HSNL,1,chemical
AWBL,RIGL,2,chemical
AWBL,AIYL,1,chemical
AWBL,AWAL,2,chemical
VB09,DD06,19,chemical
VB09,VD11,6,chemical
VB09,DD05,10,chemical
VB09,VA11,2,chemical
VB09,VD10,5,chemical
ASIR,AWCL,2,chemical
ASIR,ADLR,1,chemical
ASIR,AIBR,3,chemical
ASIR,ASHR,2,chemical
ASIR,CEPVR,1,chemical
ASIR,ASEL,2,chemical
ASIR,AWCR,5,chemical
ASIR,ASGR,3,chemical
ASIR,AIAL,1,chemical
ASIR,AIAR,4,chemical
ASIR,AWAR,1,chemical
ASIR,ASER,2,chemical
AVL,SABVL,9,chemical
AVL,DD06,1,chemical
AVL,VC01,2,chemical
AVL,PVWL,1,chemical
AVL,VC02,2,chemical
AVL,SABVR,6,chemical
AVL,RIMR,2,chemical
AVL,DVB,1,chemical
AVL,RIS,1,chemical
AVL,VC06,1,chemical
AVL,AVKR,2,chemical
AVL,DVC,2,chemical
AVL,PVPR,2,chemical
AVL,DD01,4,chemical
AVL,VD12,3,chemical
AVL,AVEL,3,chemical
AVL,HSNR,2,chemical
AVL,SABD,9,chemical
DA02,VD02,17,chemical
DA02,VD03,11,chemical
DA02,DB01,1,chemical
DA02,DD01,7,chemical
DA02,AS02,1,chemical
DA02,DA03,1,chemical
DB03,DD03,14,chemical
DB03,DA05,1,chemical
DB03,AS05,1,chemical
DB03,DA04,4,chemical
DB03,DD05,14,chemical
DB03,VD05,24,chemical
DB03,DD02,3,chemical
DB03,VD04,9,chemical
DB03,VD06,4,chemical
DB03,AS04,2,chemical
RMDR,RIMR,1,chemical
RMDR,RIS,1,chemical
RMDR,AVKR,1,chemical
RMDR,SIAVL,1,chemical
RMDR,IL1L,2,chemical
RMDR,RMGL,1,chemical
RMDR,OLLR,2,chemical
RMDR,RMDVL,9,chemical
RMDR,RIAL,14,chemical
RMDR,SMDDR,1,chemical
RMDR,RMDDL,6,chemical
RMDR,RIAR,21,chemical
RMDR,RMDL,11,chemical
RIH,CEPDL,6,chemical
RIH,RMER,6,chemical
RIH,BAGL,2,chemical
RIH,IL2VL,4,chemical
RIH,URYVR,4,chemical
RIH,AUAR,2,chemical
RIH,RIBL,18,chemical
RIH,AIZR,19,chemical
RIH,OLQDR,7,chemical
RIH,AIYR,4,chemical
RIH,OLQVL,13,chemical
RIH,URAVR,1,chemical
RIH,ADFR,3,chemical
RIH,RIPR,7,chemical
RIH,CEPVR,6,chemical
RIH,OLQDL,11,chemical
RIH,OLQVR,7,chemical
RIH,RIAL,34,chemical
RIH,CEPVL,3,chemical
RIH,BAGR,5,chemical
RIH,AIZL,12,chemical
RIH,RIBR,15,chemical
RIH,RMEV,10,chemical
RIH,AIYL,3,chemical
RIH,IL2R,3,chemical
RIH,RIPL,18,chemical
RIH,IL2VR,5,chemical
RIH,RIAR,36,chemical
RIH,IL2L,2,chemical
ALML,RIFL,2,chemical
ALML,CEPDL,2,chemical
