Source,Target,Type,Weight
ADAL,ADFL,electrical,1
ADAL,ASHL,chemical,1
ADAL,ASKL,electrical,1
ADAL,AVAL,chemical,1
ADAL,AVBL,chemical,8
ADAL,AVBR,chemical,3
ADAL,AVDL,electrical,2
ADAL,AVDR,electrical,2
ADAL,AVEL,chemical,1
ADAL,AVJR,chemical,4
ADAL,IL2DL,chemical,1
ADAL,OLQVL,chemical,1
ADAL,PVQL,electrical,1
ADAL,RIAL,chemical,1
ADAL,RIML,chemical,5
ADAL,RIPL,chemical,4
ADAL,SIBVL,chemical,1
ADAR,ADFR,electrical,1
ADAR,AIAR,chemical,1
ADAR,AIBL,chemical,1
ADAR,AIBR,chemical,1
ADAR,ASHR,chemical,1
ADAR,ASHR,electrical,2
ADAR,ASKR,electrical,1
ADAR,AVAL,chemical,1
ADAR,AVBL,chemical,2
ADAR,AVBR,chemical,8
ADAR,AVDR,electrical,1
ADAR,AVER,chemical,1
ADAR,AVJL,chemical,3
ADAR,OLQVR,chemical,1
ADAR,PVQR,electrical,1
ADAR,RICL,chemical,1
ADAR,RICR,chemical,3
ADAR,RIMR,chemical,5
ADAR,URAVR,chemical,1
ADEL,ADER,chemical,1
ADEL,AVAR,chemical,2
ADEL,CEPshVL,chemical,2
ADEL,CEPVL,chemical,1
ADEL,PVCL,chemical,1
ADEL,RIGL,chemical,3
ADEL,RIGR,chemical,2
ADEL,SDQL,chemical,2
ADEL,SMBDR,chemical,1
ADEL,URBL,chemical,1
ADER,ADAR,chemical,1
ADER,ADEL,chemical,1
ADER,AVAL,chemical,1
ADER,AVAR,chemical,1
ADER,AVDR,chemical,1
ADER,AVER,chemical,1
ADER,AVKL,chemical,1
ADER,CEPshDR,chemical,1
ADER,CEPshVL,chemical,1
ADER,CEPshVR,chemical,1
ADER,CEPVR,chemical,1
ADER,FLPR,chemical,2
ADER,IL1R,chemical,1
ADER,PVR,chemical,1
ADER,RIGL,chemical,2
ADER,RIGR,chemical,1
ADER,SDQR,chemical,1
ADFL,AIBL,chemical,1
ADFL,AIZL,chemical,6
ADFL,ASER,chemical,1
ADFL,ASHL,chemical,1
ADFL,AUAL,chemical,3
ADFL,AUAR,chemical,1
ADFL,RIAL,chemical,8
ADFL,RIGL,chemical,1
ADFL,RIR,chemical,3
ADFL,SIBVL,chemical,1
ADFL,SMBDL,chemical,1
ADFR,ADFL,electrical,1
ADFR,AFDR,chemical,1
ADFR,AIAR,electrical,2
ADFR,AIZR,chemical,10
ADFR,AUAR,chemical,4
ADFR,AVHL,chemical,1
ADFR,DVA,chemical,1
ADFR,OLQVR,chemical,1
ADFR,RIAR,chemical,12
ADFR,RIGR,chemical,2
ADFR,RIH,electrical,1
ADFR,RIR,chemical,1
ADFR,SMBDR,chemical,3
ADFR,SMBVR,chemical,7
ADLL,ADAL,chemical,2
ADLL,ADLR,electrical,1
ADLL,AIAL,chemical,4
ADLL,AIBL,chemical,5
ADLL,ASEL,chemical,1
ADLL,ASHL,chemical,3
ADLL,ASKL,chemical,4
ADLL,AVAL,chemical,2
ADLL,AVDL,chemical,1
ADLL,AVDR,chemical,8
ADLL,AVJL,chemical,2
ADLL,AVJR,chemical,3
ADLL,AWCL,chemical,3
ADLL,OLQVL,chemical,1
ADLL,PVQL,chemical,1
ADLL,RMGL,electrical,1
ADLL,SMBVL,chemical,1
ADLR,ADAR,chemical,1
ADLR,AIAR,chemical,5
ADLR,AIBR,chemical,8
ADLR,ASER,chemical,4
ADLR,ASHR,chemical,3
ADLR,ASKR,chemical,2
ADLR,AVDL,chemical,4
ADLR,AVDR,chemical,1
ADLR,AVJL,chemical,2
ADLR,AVJR,chemical,1
ADLR,AWCR,chemical,4
ADLR,RMGR,electrical,1
AFDL,AFDR,electrical,1
AFDL,AIYL,chemical,9
AFDL,AIZL,chemical,1
AFDL,ASER,chemical,1
AFDL,BAGR,chemical,1
AFDR,AIYR,chemical,7
AFDR,AIZR,electrical,2
AIAL,ADFL,chemical,1
AIAL,ADFL,electrical,1
AIAL,AIAR,electrical,1
AIAL,AIBL,chemical,12
AIAL,AINR,electrical,1
AIAL,AIYL,chemical,1
AIAL,AIZL,chemical,3
AIAL,ASGL,chemical,1
AIAL,ASHL,chemical,2
AIAL,ASIL,electrical,4
AIAL,ASJL,electrical,1
AIAL,ASKL,chemical,1
AIAL,AWAL,electrical,1
AIAL,AWBL,electrical,3
AIAL,AWCL,chemical,3
AIAL,AWCR,chemical,3
AIAL,RIFL,chemical,3
AIAR,ADAR,chemical,1
AIAR,AIBR,chemical,9
AIAR,AINL,electrical,1
AIAR,ASER,chemical,1
AIAR,ASIR,chemical,1
AIAR,ASJR,electrical,2
AIAR,ASKR,chemical,1
AIAR,AWAR,electrical,1
AIAR,AWBR,electrical,2
AIAR,AWCL,chemical,1
AIAR,AWCR,chemical,6
AIAR,RIFR,chemical,1
AIBL,AIBR,electrical,1
AIBL,AVBL,chemical,6
AIBL,AVER,chemical,1
AIBL,FLPL,electrical,1
AIBL,PVT,electrical,1
AIBL,RIBR,chemical,6
AIBL,RIGR,electrical,1
AIBL,RIML,chemical,1
AIBL,RIMR,chemical,13
AIBL,RIMR,electrical,3
AIBL,RIVL,electrical,1
AIBL,RMED,electrical,2
AIBL,SMDDR,chemical,3
AIBL,SMDVR,chemical,2
AIBR,AIZL,chemical,1
AIBR,AVAR,chemical,1
AIBR,AVBR,chemical,4
AIBR,AVEL,chemical,1
AIBR,FLPR,electrical,1
AIBR,RIBL,chemical,4
AIBR,RIBR,chemical,1
AIBR,RIML,chemical,12
AIBR,RIML,electrical,1
AIBR,RIMR,chemical,1
AIBR,RIVR,electrical,2
AIBR,SAADL,chemical,1
AIBR,SAADR,chemical,1
AIBR,SMBDL,chemical,1
AIBR,SMDDL,chemical,5
AIBR,SMDVL,chemical,3
AIBR,URXL,electrical,1
AIML,AIAL,chemical,4
AIML,AIMR,electrical,1
AIML,ALML,chemical,1
AIML,ASGL,chemical,4
AIML,ASIL,chemical,1
AIML,ASKL,chemical,2
AIML,AVDL,chemical,1
AIML,AVEL,chemical,1
AIML,AVFL,chemical,1
AIML,AVFR,chemical,3
AIML,CEPshDL,chemical,1
AIML,CEPshDR,chemical,1
AIML,CEPshVL,chemical,2
AIML,SIBDR,electrical,1
AIMR,AIAR,chemical,6
AIMR,AIBR,chemical,1
AIMR,ALMR,chemical,2
AIMR,ASGR,chemical,3
AIMR,ASKR,chemical,3
AIMR,AVDR,chemical,1
AIMR,AVFL,chemical,1
AIMR,AVFR,chemical,1
AIMR,CEPshDR,chemical,4
AIMR,SIBDL,chemical,2
AIMR,SMDDL,chemical,1
AIMR,URXR,chemical,1
AINL,AFDR,chemical,3
AINL,AUAL,chemical,1
AINL,AUAL,electrical,1
AINL,AUAR,chemical,4
AINL,BAGL,chemical,2
AINL,BAGR,chemical,1
AINL,CEPshDR,chemical,2
AINL,CEPshVR,chemical,1
AINL,CEPVR,chemical,1
AINL,IL2R,chemical,1
AINL,RIBR,chemical,3
AINL,RID,chemical,1
AINL,RIMR,chemical,1
AINR,AFDL,chemical,6
AINR,AFDR,chemical,1
AINR,AINL,electrical,1
AINR,AUAL,chemical,3
AINR,AUAR,electrical,1
AINR,BAGR,chemical,2
AINR,CEPshDR,chemical,1
AINR,CEPshVL,chemical,2
AINR,CEPshVR,chemical,1
AINR,RIBL,chemical,2
AIYL,AIZL,chemical,13
AIYL,AWAL,chemical,2
AIYL,BAGR,chemical,1
AIYL,RIAL,chemical,6
AIYL,RIBL,chemical,4
AIYR,AFDR,chemical,1
AIYR,AIZL,chemical,1
AIYR,AIZR,chemical,11
AIYR,ASGR,electrical,1
AIYR,AWBR,chemical,1
AIYR,BAGL,chemical,1
AIYR,BAGR,chemical,1
AIYR,RIAL,chemical,2
AIYR,RIAR,chemical,4
AIYR,RIBR,chemical,5
AIZL,ADFL,chemical,1
AIZL,AFDL,electrical,2
AIZL,AIAL,chemical,4
AIZL,AIBL,chemical,1
AIZL,AIBR,chemical,14
AIZL,AIZR,chemical,1
AIZL,AIZR,electrical,3
AIZL,ASEL,chemical,1
AIZL,ASEL,electrical,1
AIZL,ASER,electrical,1
AIZL,ASGL,electrical,1
AIZL,AUAL,chemical,1
AIZL,AUAL,electrical,1
AIZL,AVEL,chemical,1
AIZL,AVER,chemical,4
AIZL,AWCR,chemical,1
AIZL,AWCR,electrical,3
AIZL,RIAL,chemical,7
AIZL,RIAR,chemical,1
AIZL,RIML,chemical,13
AIZL,SMBDL,chemical,5
AIZL,SMBDR,chemical,2
AIZL,SMBVL,chemical,8
AIZR,AIAR,chemical,2
AIZR,AIBL,chemical,11
AIZR,AIBR,chemical,2
AIZR,AIYR,chemical,1
AIZR,ASEL,electrical,1
AIZR,ASER,chemical,1
AIZR,ASER,electrical,2
AIZR,ASGR,electrical,1
AIZR,AUAR,electrical,1
AIZR,AVAL,chemical,1
AIZR,AVEL,chemical,3
AIZR,AWCR,electrical,1
AIZR,RIAL,chemical,1
AIZR,RIAR,chemical,6
AIZR,RIBR,chemical,1
AIZR,RIMR,chemical,7
AIZR,SMBDR,chemical,7
AIZR,SMBVL,chemical,1
AIZR,SMBVR,chemical,9
ALA,ASJR,chemical,1
ALA,AVEL,chemical,2
ALA,AVER,chemical,2
ALA,CEPshDL,chemical,1
ALA,CEPshVR,chemical,3
ALML,AIML,chemical,1
ALML,AVBL,chemical,1
ALML,AVEL,chemical,1
ALML,BDUL,chemical,3
ALML,CEPDL,chemical,3
ALML,CEPVL,chemical,2
ALML,IL2L,chemical,1
ALML,PVR,chemical,1
ALML,PVR,electrical,3
ALML,RID,chemical,1
ALML,RMGL,chemical,1
ALML,SDQL,chemical,1
ALMR,ADAR,chemical,1
ALMR,AVFL,chemical,1
ALMR,BDUR,chemical,6
ALMR,CEPDR,chemical,2
ALMR,CEPVR,chemical,3
ALMR,PVCR,chemical,2
ALMR,RIFR,chemical,1
ALMR,SDQR,chemical,1
ALNL,RIAL,chemical,1
ALNL,SAAVL,chemical,1
ALNL,SMBDR,chemical,1
ALNR,SAAVR,chemical,2
ALNR,SMBDL,chemical,1
ALNR,SMDVL,chemical,1
AQR,AVAL,chemical,5
AQR,AVAR,chemical,7
AQR,AVBL,chemical,9
AQR,AVBR,chemical,4
AQR,AVDL,chemical,1
AQR,AVKL,electrical,1
AQR,AVKR,electrical,1
AQR,BAGL,chemical,1
AQR,BAGR,chemical,2
AQR,PVCL,chemical,4
AQR,PVCR,chemical,2
AQR,PVPL,chemical,1
AQR,PVPR,electrical,1
AQR,RIAL,chemical,1
AQR,RIAR,chemical,1
AQR,RIBR,chemical,1
AQR,RIGL,chemical,1
AQR,RIGL,electrical,2
AQR,RIGR,chemical,1
AQR,RIR,chemical,1
ASEL,AFDR,chemical,3
ASEL,AIAL,chemical,2
ASEL,AIBL,chemical,8
ASEL,AIBR,chemical,2
ASEL,AINL,chemical,1
ASEL,AIYL,chemical,11
ASEL,AIYR,chemical,6
ASEL,AIZL,chemical,1
ASEL,AWCL,chemical,3
ASEL,AWCR,chemical,1
ASEL,BAGL,chemical,1
ASER,AFDL,chemical,2
ASER,AFDR,chemical,1
ASER,AIAL,chemical,1
ASER,AIAR,chemical,1
ASER,AIBL,chemical,6
ASER,AIBR,chemical,8
ASER,AIYL,chemical,8
ASER,AIYR,chemical,12
ASER,AIZL,chemical,1
ASER,AIZR,chemical,2
ASER,ASEL,chemical,1
ASER,AWCL,chemical,1
ASER,AWCR,chemical,8
ASGL,AIAL,chemical,8
ASGL,AIBL,chemical,1
ASGL,AIML,chemical,1
ASGR,AIAR,chemical,9
ASGR,AIBR,chemical,1
ASGR,AIMR,chemical,1
ASGR,ASER,chemical,1
ASHL,ADAL,chemical,3
ASHL,ADAL,electrical,3
ASHL,ADFL,chemical,2
ASHL,ADLL,chemical,1
ASHL,AIAL,chemical,7
ASHL,AIBL,chemical,4
ASHL,AIZL,electrical,3
ASHL,ASHR,electrical,1
ASHL,ASKL,chemical,1
ASHL,AVAL,chemical,4
ASHL,AVBL,chemical,6
ASHL,AVDL,chemical,1
ASHL,AVDR,chemical,5
ASHL,AVEL,chemical,1
ASHL,AVHR,chemical,1
ASHL,AVHR,electrical,1
ASHL,AWAL,chemical,1
ASHL,AWBL,chemical,1
ASHL,RIAL,chemical,3
ASHL,RICL,electrical,1
ASHL,RIFL,chemical,1
ASHL,RIML,chemical,3
ASHL,RMGL,electrical,3
ASHL,URXL,chemical,1
ASHR,ADAR,chemical,2
ASHR,ADFR,chemical,4
ASHR,ADLR,chemical,1
ASHR,AIAR,chemical,10
ASHR,AIBR,chemical,7
ASHR,AIZR,electrical,4
ASHR,ASKR,electrical,2
ASHR,AVAR,chemical,1
ASHR,AVBR,chemical,7
ASHR,AVDL,chemical,4
ASHR,AVDR,chemical,1
ASHR,AVER,chemical,1
ASHR,AVJL,chemical,1
ASHR,AWAR,chemical,1
ASHR,AWBR,chemical,1
ASHR,RIAR,chemical,3
ASHR,RICR,electrical,1
ASHR,RMGR,electrical,3
ASHR,SMBDR,chemical,2
ASIL,AIAL,chemical,3
ASIL,AIBL,chemical,2
ASIL,ASER,chemical,1
ASIL,ASGL,chemical,1
ASIL,ASIR,electrical,1
ASIL,AWCL,chemical,3
ASIL,AWCR,chemical,3
ASIL,CEPshDL,chemical,1
ASIL,CEPshVL,chemical,1
ASIL,CEPshVR,chemical,1
ASIR,AFDR,chemical,2
ASIR,AIAR,chemical,1
ASIR,AIAR,electrical,2
ASIR,AIYR,chemical,2
ASIR,AWCL,chemical,1
ASIR,AWCR,chemical,4
ASIR,CEPshDR,chemical,3
ASIR,CEPshVR,chemical,2
ASJL,AIAL,chemical,1
ASJL,ASJR,electrical,1
ASJL,ASKL,chemical,5
ASJL,AVFR,chemical,1
ASJL,CEPshVL,chemical,3
ASJL,PVQL,chemical,10
ASJR,ASKL,chemical,1
ASJR,ASKR,chemical,3
ASJR,CEPshVR,chemical,2
ASJR,PVQR,chemical,7
ASKL,AIAL,chemical,11
ASKL,AIAR,chemical,1
ASKL,AIML,chemical,2
ASKL,ASHL,chemical,1
ASKL,PVQL,electrical,1
ASKR,AIAR,chemical,10
ASKR,AIMR,chemical,2
ASKR,ASKL,chemical,1
ASKR,ASKL,electrical,1
ASKR,PVQR,electrical,1
AUAL,AUAR,electrical,2
AUAL,AVAL,chemical,3
AUAL,AVDR,chemical,1
AUAL,AVEL,chemical,2
AUAL,DVA,chemical,1
AUAL,RIAL,chemical,6
AUAL,RIBL,chemical,7
AUAL,URXL,chemical,1
AUAR,AVAR,chemical,3
AUAR,AVER,chemical,2
AUAR,RIAR,chemical,7
AUAR,RIBR,chemical,6
AUAR,URXR,chemical,2
AUAR,URXR,electrical,1
AVAL,AVAR,electrical,1
AVAL,URYDL,electrical,1
AVAL,URYVR,electrical,1
AVAR,URYDR,electrical,2
AVAR,URYVL,electrical,1
AVBL,AVBR,electrical,3
AVBL,DVA,electrical,2
AVBL,RIBL,electrical,1
AVBL,RID,electrical,1
AVBR,DVA,electrical,3
AVBR,RIBL,electrical,3
AVBR,RID,electrical,1
AVBR,SIBDL,electrical,1
AVBR,SIBVL,electrical,1
AVDL,ADAR,electrical,3
AVDL,AVDR,electrical,1
AVDL,AVER,electrical,1
AVDL,AVM,electrical,2
AVDR,ALML,electrical,2
AVDR,ALMR,electrical,2
AVDR,RIML,electrical,1
AVEL,OLQDR,electrical,1
AVEL,OLQVR,electrical,1
AVEL,RMDDR,electrical,3
AVEL,RMDVL,electrical,1
AVEL,RMDVR,electrical,1
AVEL,RMER,electrical,1
AVEL,RMEV,electrical,1
AVEL,URBL,electrical,1
AVER,OLQDL,electrical,1
AVER,OLQVL,electrical,1
AVER,RIML,electrical,1
AVER,RIVR,electrical,1
AVER,RMDDL,electrical,4
AVER,RMDVL,electrical,4
AVER,RMDVR,electrical,1
AVER,URBR,electrical,1
AVER,URYVL,electrical,2
AVFL,ASHR,chemical,1
AVFL,AVBR,chemical,1
AVFL,AVFR,chemical,2
AVFL,PVQR,chemical,1
AVFR,ALML,chemical,1
AVFR,ALMR,chemical,1
AVFR,AVBL,chemical,1
AVFR,AVFL,chemical,2
AVFR,BDUL,chemical,1
AVFR,CEPshVL,chemical,1
AVFR,CEPshVR,chemical,1
AVFR,PVQL,chemical,5
AVFR,PVQR,chemical,3
AVFR,RIFL,chemical,1
AVFR,RMGL,chemical,2
AVHL,ADFR,chemical,4
AVHL,AIZR,chemical,1
AVHL,ASER,chemical,1
AVHL,AVBR,chemical,2
AVHL,AVJL,chemical,2
AVHL,AWBR,chemical,5
AVHL,DVA,chemical,1
AVHL,PVPL,chemical,1
AVHL,RIFL,chemical,1
AVHL,RIR,chemical,2
AVHL,SMBVR,chemical,2
AVHL,URXR,chemical,1
AVHR,ADAL,chemical,1
AVHR,ADFL,chemical,3
AVHR,ADLL,chemical,1
AVHR,AIMR,chemical,1
AVHR,AIZL,chemical,2
AVHR,ASEL,chemical,1
AVHR,AVBR,chemical,2
AVHR,AVFR,chemical,1
AVHR,AVJR,chemical,1
AVHR,AWBL,chemical,5
AVHR,AWBR,chemical,1
AVHR,BDUL,chemical,1
AVHR,DVA,chemical,1
AVHR,PVPL,chemical,1
AVHR,PVPR,chemical,1
AVHR,RIML,chemical,1
AVHR,RIR,chemical,1
AVHR,SIAVL,chemical,1
AVHR,SMBDL,chemical,1
AVHR,SMBVL,chemical,1
AVHR,URXL,chemical,1
AVJL,AVBL,chemical,1
AVJL,AVBR,chemical,2
AVJL,PVCR,chemical,1
AVJL,RIFR,chemical,1
AVJR,ASHL,chemical,1
AVJR,AVBL,chemical,2
AVJR,AVBR,chemical,2
AVJR,PVCL,chemical,2
AVJR,RIFL,chemical,1
AVJR,RIS,chemical,2
AVKL,AIBR,chemical,1
AVKL,AVEL,chemical,1
AVKL,AVER,chemical,2
AVKL,AVKR,electrical,1
AVKL,AVL,chemical,1
AVKL,PVT,chemical,1
AVKL,RICR,electrical,1
AVKL,RIGR,chemical,2
AVKL,RIML,chemical,2
AVKL,RIMR,chemical,3
AVKL,RIS,chemical,1
AVKL,RMDL,chemical,2
AVKL,RMGR,chemical,1
AVKL,SAADL,chemical,1
AVKL,SAADR,chemical,4
AVKL,SMBVL,electrical,1
AVKR,AIBL,chemical,1
AVKR,AVEL,chemical,2
AVKR,AVER,chemical,2
AVKR,AVKL,chemical,1
AVKR,PVPL,chemical,1
AVKR,RICL,electrical,1
AVKR,RICR,electrical,3
AVKR,RIML,chemical,3
AVKR,RIMR,chemical,2
AVKR,RIS,chemical,1
AVKR,RMDL,chemical,1
AVKR,RMDR,chemical,2
AVKR,RMGL,chemical,1
AVKR,SAADL,chemical,2
AVKR,SAADR,chemical,1
AVKR,SAAVL,chemical,1
AVKR,SIADR,chemical,1
AVKR,SMBDR,electrical,1
AVL,RIS,chemical,2
AVL,RMER,chemical,2
AVM,ADER,chemical,1
AVM,ALMR,electrical,1
AVM,AVBL,chemical,4
AVM,AVBR,chemical,1
AVM,AVDL,chemical,3
AVM,AVHL,chemical,2
AVM,AVJL,chemical,1
AVM,BDUR,chemical,1
AVM,PVCR,chemical,2
AVM,PVPR,chemical,1
AVM,PVR,chemical,3
AVM,RIS,chemical,2
AWAL,AFDL,chemical,2
AWAL,AIAL,chemical,3
AWAL,AIYL,chemical,1
AWAL,AIZL,chemical,8
AWAL,AIZR,chemical,1
AWAL,ASEL,chemical,1
AWAL,AUAL,chemical,1
AWAL,AWBL,chemical,6
AWAL,RIBL,chemical,1
AWAR,ADFR,chemical,1
AWAR,ADLR,chemical,2
AWAR,AFDR,chemical,3
AWAR,AIAR,chemical,1
AWAR,AIYR,chemical,1
AWAR,AIZR,chemical,4
AWAR,ASER,chemical,6
AWAR,AWAL,chemical,1
AWAR,AWBR,chemical,6
AWBL,ADFL,chemical,6
AWBL,AIZL,chemical,7
AWBL,ASEL,chemical,1
AWBL,AWBR,electrical,2
AWBL,RMGL,electrical,1
AWBR,ADFR,chemical,6
AWBR,AIAR,chemical,1
AWBR,AIZR,chemical,5
AWBR,ASER,chemical,1
AWBR,ASHR,chemical,1
AWBR,AVHL,chemical,1
AWBR,AVHR,chemical,1
AWBR,RIAR,chemical,1
AWBR,RIGR,chemical,1
AWBR,SMBDR,chemical,1
AWBR,SMBVR,chemical,1
AWCL,ADLL,chemical,1
AWCL,AIAL,chemical,1
AWCL,AIAR,chemical,3
AWCL,AIBL,chemical,7
AWCL,AIBR,chemical,6
AWCL,AIYL,chemical,5
AWCL,AIYR,chemical,8
AWCL,AIZL,chemical,1
AWCL,AIZL,electrical,3
AWCL,AIZR,electrical,1
AWCL,ASIL,chemical,1
AWCL,AWCR,chemical,11
AWCR,ADLL,chemical,1
AWCR,AIAL,chemical,5
AWCR,AIAR,chemical,6
AWCR,AIBL,chemical,6
AWCR,AIBR,chemical,5
AWCR,AINR,chemical,1
AWCR,AIYL,chemical,3
AWCR,AIYR,chemical,3
AWCR,AIZL,chemical,2
AWCR,ASEL,chemical,1
AWCR,ASER,chemical,6
AWCR,ASGR,chemical,1
AWCR,ASIR,chemical,1
AWCR,AWCL,chemical,7
BAGL,AINL,chemical,1
BAGL,AVER,chemical,4
BAGL,RIAR,chemical,6
BAGL,RIBR,chemical,8
BAGL,RIGR,chemical,3
BAGL,RIR,electrical,1
BAGR,AVAL,chemical,1
BAGR,AVEL,chemical,4
BAGR,RIAL,chemical,4
BAGR,RIBL,chemical,7
BAGR,RIGL,chemical,2
BDUL,ALML,chemical,3
BDUL,AVBL,chemical,1
BDUL,AVDR,chemical,1
BDUL,AVFR,chemical,1
BDUL,AVHL,chemical,1
BDUL,AVJL,chemical,1
BDUL,AVJR,chemical,1
BDUL,BDUR,electrical,1
BDUL,CEPshDL,chemical,1
BDUL,CEPshDR,chemical,1
BDUL,PVCL,chemical,1
BDUL,RIFL,chemical,1
BDUL,SDQL,chemical,3
BDUL,SIBVR,chemical,1
BDUR,ALMR,chemical,1
BDUR,AVDR,chemical,1
BDUR,AVJL,chemical,2
BDUR,AVM,chemical,4
BDUR,CEPshVR,chemical,2
BDUR,PVCL,chemical,1
BDUR,PVCR,chemical,1
BDUR,RMGR,chemical,1
BDUR,SMBDL,chemical,1
BDUR,URBR,chemical,1
CEPDL,AVER,chemical,5
CEPDL,IL1DL,chemical,3
CEPDL,OLLL,chemical,5
CEPDL,OLQDL,chemical,5
CEPDL,RIBL,chemical,1
CEPDL,RICL,chemical,2
CEPDL,RICR,chemical,2
CEPDL,RIPL,chemical,1
CEPDL,RMDVL,chemical,5
CEPDL,RMHL,chemical,2
CEPDL,URADL,chemical,1
CEPDL,URBL,chemical,2
CEPDR,AVAR,chemical,1
CEPDR,AVEL,chemical,4
CEPDR,IL1DR,chemical,2
CEPDR,OLLR,chemical,4
CEPDR,OLQDR,chemical,4
CEPDR,RIBR,chemical,1
CEPDR,RICL,chemical,2
CEPDR,RICR,chemical,3
CEPDR,RIPR,chemical,1
CEPDR,RMDVL,chemical,1
CEPDR,RMDVR,chemical,3
CEPDR,SIBVR,chemical,1
CEPDR,SMBDL,chemical,1
CEPDR,URADR,chemical,2
CEPDR,URBR,chemical,2
CEPDR,URYDR,chemical,1
CEPshVL,ADLL,electrical,1
CEPVL,AVER,chemical,3
CEPVL,IL1VL,chemical,2
CEPVL,OLLL,chemical,4
CEPVL,OLQVL,chemical,6
CEPVL,RICL,chemical,4
CEPVL,RICR,chemical,2
CEPVL,RMDDL,chemical,4
CEPVL,RMHL,chemical,3
CEPVL,RMHR,chemical,1
CEPVL,URAVL,chemical,3
CEPVL,URYVL,chemical,1
CEPVR,ADER,chemical,1
CEPVR,AVEL,chemical,6
CEPVR,CEPshVR,chemical,1
CEPVR,IL1VR,chemical,2
CEPVR,OLLR,chemical,7
CEPVR,OLQVR,chemical,4
CEPVR,PVR,chemical,2
CEPVR,RICL,chemical,2
CEPVR,RICR,chemical,3
CEPVR,RIPR,chemical,2
CEPVR,RMDDR,chemical,3
CEPVR,RMHL,chemical,1
CEPVR,SMBVR,chemical,1
CEPVR,URAVR,chemical,2
CEPVR,URYVR,chemical,1
DVA,ADAL,chemical,1
DVA,AIZL,chemical,3
DVA,AIZR,chemical,2
DVA,AQR,chemical,2
DVA,AUAL,chemical,1
DVA,AVAR,chemical,1
DVA,AVEL,chemical,4
DVA,AVER,chemical,6
DVA,OLQVL,chemical,1
DVA,OLQVR,chemical,1
DVA,OLQVR,electrical,1
DVA,PVPL,chemical,1
DVA,PVPR,chemical,1
DVA,RIPL,chemical,1
DVA,RIPR,chemical,1
DVA,RIR,chemical,3
DVA,SIADR,chemical,1
DVA,SIBVL,chemical,1
DVA,SIBVR,chemical,1
DVA,URXL,chemical,1
DVA,URYDR,chemical,1
DVC,AIBL,chemical,3
